Userchoice,Machinechoice,Outcome
Rock,Paper,Machine Wins
Paper,Rock,User Wins
Rock,Paper,Machine Wins
Paper,Scissors,Machine Wins
Rock,Scissors,User Wins
Paper,Rock,User Wins
Scissors,Paper,User Wins
Rock,Paper,Machine Wins
Paper,Scissors,Machine Wins
Scissors,Paper,User Wins
Rock,Paper,Machine Wins
Scissors,Paper,User Wins
Paper,Scissors,Machine Wins
Paper,Rock,User Wins
Paper,Scissors,Machine Wins
Scissors,Paper,User Wins
Rock,Paper,Machine Wins
Paper,Scissors,Machine Wins
Rock,Scissors,User Wins
Rock,Paper,Machine Wins
Scissors,Rock,Machine Wins
Paper,Rock,User Wins
Rock,Paper,Machine Wins
Rock,Scissors,User Wins
Scissors,Paper,User Wins
Rock,Paper,Machine Wins
Paper,Scissors,Machine Wins
Scissors,Paper,User Wins
Paper,Rock,User Wins
Rock,Paper,Machine Wins
Paper,Rock,User Wins
Rock,Paper,Machine Wins
Paper,Rock,User Wins
Rock,Scissors,User Wins
Paper,Scissors,Machine Wins
Scissors,Rock,Machine Wins
Scissors,Rock,Machine Wins
Rock,Paper,Machine Wins
Paper,Scissors,Machine Wins
Rock,Scissors,User Wins
Paper,Rock,User Wins
Scissors,Paper,User Wins
Rock,Scissors,User Wins
Rock,Scissors,User Wins
Rock,Paper,Machine Wins
Rock,Scissors,User Wins
Paper,Scissors,Machine Wins
Paper,Scissors,Machine Wins
Scissors,Rock,Machine Wins
Scissors,Paper,User Wins
Rock,Scissors,User Wins
Rock,Paper,Machine Wins
Paper,Rock,User Wins
Scissors,Paper,User Wins
